qid,Qid,P31,Lpt-br,Dpt-br,Den,P571,qal1319,qal1326,P17,P1259,qal2044,qal7787,qal8208,P170,P186,format,P195,P217,P2079,P4036,P2049,P2048,P7835
Q56373663,,Q125191,Igreja de Santa Luzia,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.90893/-43.17123,9.26313U11573,-129.82719U28390,92.7613U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS092,Q107387614||Q35158,37.7996U28390,237.0U174728,185.0U174728,8
Q56650144,,Q125191,Teatro Municipal,Fotografia de Marc Ferrez,Photograph by Marc Ferrez,1910-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.91005/-43.17583,9.69829U11573,-23.75162U28390,96.24225U28390,Q3180571,Q85621807||Q35158,,Q71989864,0072430cx098-08,Q172984||Q35158,50.0U28390,300.0U174728,240.0U174728,7
Q63986260,,Q125191,"Avenida Beira-Mar, em direção ao Outeiro da Glória",Fotografia de Augusto Malta,Photograph by Augusto Malta,1911-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.91415/-43.17576,31.0656U11573,173.56393U28390,88.22101U28390,Q16495239,Q56055236||Q35158,,Q71989864,001AN25001003,Q172984||Q35158,52.17U28390,228.0U174728,170.0U174728,8
Q64007188,,Q125191,Vista da Glória; a partir do Outeiro,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1880-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.92114/-43.1755,39.31629U11573,-64.1429U28390,88.65226U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS042,Q107387614||Q35158,50.0054U28390,237.0U174728,185.0U174728,8
Q64214676,,Q125191,"Arsenal da Guerra, Praia do Peixe e Alfândega; a partir da Ilha das Cobras",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.89655/-43.17403,40.01468U11573,172.00771U28390,88.09U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS001,Q107387614||Q35158,40.26U28390,239.0U174728,185.0U174728,8
Q64214677,,Q125191,Entrada da Barra do Rio de Janeiro,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.89614/-43.17393,55.30088U11573,158.53971U28390,86.35975U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS002,Q107387614||Q35158,58.13U28390,239.0U174728,185.0U174728,8
Q64214678,,Q125191,Arsenal da Marinha e Mosteiro de São Bento; a partir da Ilha das Cobras,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.89641/-43.1746,38.56927U11573,-95.45978U28390,87.75374U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS003,Q107387614||Q35158,50.01U28390,239.0U174728,185.0U174728,8
Q64214679,,Q125191,Praia de D. Manoel e Alfândega; a partir da Ilha das Cobras,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.89644/-43.17433,43.95842U11573,-146.22423U28390,88.70149U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS004,Q107387614||Q35158,54.83U28390,239.0U174728,185.0U174728,8
Q64214680,,Q125191,"Arsenal da Marinha, Praia dos Mineiros e Candelária; a partir da Ilha das Cobras",Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.89648/-43.17445,40.73692U11573,-132.71607U28390,88.291U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS005,Q107387614||Q35158,38.71U28390,239.0U174728,185.0U174728,8
Q64214681,,Q125191,Porto do Méier,Fotografia de Georges Leuzinger,Photograph by Georges Leuzinger,1866-01-01T00:00:00Z/8,1970-01-01T00:00:00.000001Z/9,1970-01-01T00:00:00.000001Z/9,Q155,@-22.88175/-43.12601,63.50194U11573,89.13078U28390,84.71682U28390,Q5877879,Q56055236||Q35158,,Q71989864,014GLAS006,Q107387614||Q35158,61.91U28390,236.0U174728,185.0U174728,8
